text,label,notes
A decade of pump faking star trades got them Giannis. Fair play Pat Riley,reaction,
Where are their shooting now? Norm Powell and Wiggins?,reaction,
Spoelstra is gonna work his magic and some random role players are gonna shoot lights out for them next year,hot_take,
Bam and Giannis combine for 8 threes a game at 40% shooting just like we all predicted,reaction,sarcastic
Bam shot 31% last season Giannis going to be shooting 65% to offset it,hot_take,
Bam can score 81 a game,hot_take,
Bam and Giannis boutta own the 5th seed,hot_take,
JAYLEN BROWN YOU ARE SAFE,reaction,
Giannis for the entire Heat roster and all their draft capital hell yeah,reaction,
Milwaukee did pretty damn good with how long they waited to finally do this. The fact they got all their young players and multiple picks with Giannis being on a one year deal,analysis,
Mitchell Powell Wiggins Giannis Bam doesn't sound like the worst starting 5 they should be able to make some noise,hot_take,
This is just Milwaukee 2.0 with a better coach,hot_take,
Draft picks are the lifeblood of a small market team like Milwaukee which struggles to sign FAs. You draft a Giannis tier player or you trade for one. Either way you need as much draft capital as you can get. Has this sub learned nothing from watching Sam Presti run circles around most other teams for the past decade?,analysis,
It has been less than 3 years since Dame joined the Bucks from favorites in the East to trading your franchise player. I don't think anyone could have guessed how that would play out,reaction,
I could've sworn they were going to take the Boston deal,reaction,
I get that it's Giannis but holy s*** is that a lot of names and picks,reaction,
The Luka trade continues to be the biggest joke of all time,hot_take,
They're gonna have to sign the rest of the Antetokounmpii to fill that roster,reaction,
Relying on Spoelstra's ability to find more random guys to make up a bench,hot_take,
I suspect this came down to draft picks and Boston didn't want to give them up,hot_take,borderline analysis but no evidence
Great plan. Hey if you don't want to trade for him you can get him for nothing next week,reaction,
Based on his contract there was not really any other way this could have gone. Unless we trade with the 2 cap space teams we'd be getting less cap saving in any trade than just cutting him,analysis,
Having DeRozan on the team next season is a non-starter. It's by far the simplest way to get out of the tax without taking a dumb deal,analysis,
No one was trading for him come on now,hot_take,
It's perfectly fine plan. If DeRozan is a FA then basically he can walk to wherever he wants vs you trading for him and guaranteeing his services,analysis,
Come here DeRozan we don't give a s*** about spacing,reaction,
Just gotta win by hitting 55-60 two point shots per game,hot_take,
I'd actually love to see him in Miami. I can see him fitting into Heat culture. Might not be a great basketball fit but that seems to be all of DeRozan's teams lately,hot_take,
That's such a Clippers move,reaction,
Clippers the NEW home for washed old men,hot_take,
DeRozan is just old not washed. His mid range game still is insane and he doesn't rely on athleticism at all. Could be a dope 6th man,hot_take,
It's better than CP3 and Beal. DeRozan is a decent copy of Kawhi's offensive game. He's a guy you can rely on to score 20-25 in the same slot on offense when Kawhi sits,analysis,
Makes sense Randle hogs the ball a lot but this also puts more pressure on other players. Someone needs to step up thinking it should be McDaniels,hot_take,
If Jaden could finally become a 20ppg player this team would be so much better. I just don't think he has it in him to score at that consistency,hot_take,
He has a large defensive assignment each night. A PG with some defensive chops would ease the load and I'd bet we see more juice on the offensive end,analysis,
We don't need a Rondo or a Chris Paul. Ant is gonna be dominating the ball anyway. We simply need a safe outlet that can punish double teams when Ant gets doubled. Derrick White is a much smarter player and he can at least swing the ball and find open people even if his shot abandons him,analysis,
The worry is that when Ant and Julius have both been on the floor he plays incredibly passive and kinda seems to save his energy for defense,analysis,
damn another team that didn't like Randle,reaction,
